ID,Name,Description,ColumnSpec,Semantic_Field,Ontological_Category,Replacement_ID
0,<NA>,Set of all concepts not yet mapped to a meaningful concept set,,,,
1,CONTEMPTIBLE,Deserving of contempt or scorn.,,Emotions and values,Property,
2,DUST,Any kind of solid material divided in particles of very small size.,,The physical world,Person/Thing,
3,BRAVE,Having or characterized by courage.,,Emotions and values,Property,
4,COURTYARD,An area wholly or partly surrounded by walls or buildings.,,The house,Person/Thing,
5,GAZELLE,An antelope of the genus Gazella mostly native to Africa and capable of running at high speeds for long periods.,,Animals,Person/Thing,
6,EARTHQUAKE,"The violent shaking of the ground produced by deep seismic waves, originating from the epicentre.",,The physical world,Person/Thing,
7,GATHER,"To collect or gather (e.g. work, magazines, etc.).",,Spatial relations,Action/Process,
8,CURSE,"To imprecate evil or misfortune upon someone or something, usually by means of a prayer or implication.",,Religion and belief,Action/Process,
9,ANNOUNCE,To make known by stating or announcing.,,Speech and language,Action/Process,
10,FIREWOOD,Wood intended to be burned.,,The physical world,Person/Thing,
11,DARKNESS,Absence of light.,,The physical world,Person/Thing,
12,MIDDAY,Time of day when the sun is in its zenith.,,Time,Person/Thing,
13,DECEIT,The act or practice of deceiving.,,Emotions and values,Person/Thing,
14,YOKE,A device for joining together a pair of draft animals.,,Motion,Person/Thing,
15,OTTER,"Any of several aquatic, furbearing, weasellike mammals of the genus Lutra, having webbed feet and a long, slightly flattened tail.",,Animals,Person/Thing,
16,SLED,A general term used to refer to a vehicle for transportation on ice or snowy surfaces.,,Motion,Person/Thing,
17,EYELID,A skin flap that can be closed over an eye.,,The body,Person/Thing,
18,EARLOBE,The lower fleshy part of the human ear.,,The body,Person/Thing,
19,FISHING LINE,A line intended to fasten hooks in when fishing.,,Warfare and hunting,Person/Thing,
20,SCYTHE,"A farm tool consisting of a long bent blade attached to a shaft, that is designed for cutting straws of grass or grain from an upright position.",,Agriculture and vegetation,Person/Thing,
21,TASTE (SOMETHING),To try the flavor of something.,,Sense perception,Action/Process,
22,INTEND,"To assign for a specific end, use, or purpose; to design or destine.",,Cognition,Action/Process,
23,RYE,"Biennial plant from the genus Secale of the family Poaceae, used as a cereal or for forage.",,Agriculture and vegetation,Person/Thing,
24,PRAY,"To address God or a higher being with praise, thanksgiving, confession or supplication.",,Religion and belief,Action/Process,
25,DIRT,"Any unclean substance, such as mud, dust, dung etc.",,Sense perception,Person/Thing,
26,UNPLEASANT,Not to one's liking.,,Emotions and values,Property,
27,AIR,A predominantly mechanical mixture of a variety of individual gases forming the earth's enveloping atmosphere.,,The physical world,Person/Thing,
28,MOISTEN,To make moist.,,Basic actions and technology,Action/Process,
29,GELD,To remove the testicles (and sometimes penis) of a male animal or to render the testicles nonfunctional.,,Animals,Action/Process,
30,DISPEL,Force to go away.,,Motion,Action/Process,
31,PAN,"Cooking utensil relatively flat, having a handle, used to cook food such as meat, vegetables or eggs, usually in oil or butter.",,Food and drink,Person/Thing,
32,EARWAX,"A yellowish, waxlike secretion from certain glands in the external auditory canal.",,The body,Person/Thing,
33,NETTLE,Any of numerous plants having stinging hairs that cause skin irritation on contact (especially of the genus Urtica or family Urticaceae). [B:33],,Agriculture and vegetation,Person/Thing,
34,STAIRS,A contiguous set of steps connecting two floors.,,The house,Person/Thing,
35,TAMARIND,"A tropical tree, native to Africa, including Sudan and parts of the Madagascar dry deciduous forests.",,Agriculture and vegetation,Person/Thing,
36,PUBIC HAIR,"Dense, coarse hair that grows on the male and female genital area beginning in puberty.",,The body,Person/Thing,
37,LIBERATE,To set free from the power of another.,,Social and political relations,Action/Process,
38,SPREAD OUT,To spread out or open from a closed or folded state.,,Basic actions and technology,Action/Process,
39,KEEN,Full of or characterized by enthusiasm.,,Emotions and values,Property,
40,ENVY,"A feeling of discontent or covetousness with regard to another's advantages, success, possessions, etc.",,Emotions and values,Person/Thing,
41,IGNORE,To be ignorant of or in the dark about.,,Cognition,Action/Process,
42,STINKING,Having a bad smell.,,Sense perception,Property,
43,LEAD (GUIDE),To guide by moving in front.,,Motion,Action/Process,
44,INJURE,To cause physical harm to a living creature.,,The body,Action/Process,
45,EVIL,Intending to harm or being/acting ethically wrong.,,Emotions and values,Property,
