language,word_form,lwt_code,lwt_label,word_meaning_relation
Archi,aːč'at'utːut,13.22,empty,NA
Archi,aːcʼutːut,13.21,full,NA
Archi,aːtas,5.56,to crush or to grind,Super-counterpart
Archi,aːtas,9.61,to forge,NA
Archi,aːˤšas,9.221,to cut down,NA
Archi,abadlaw,14.31,always,NA
Archi,abaj,2.37,the parents,Exact counterpart
Archi,abtːu,2.35,the father,Sub-counterpart
Archi,acː'ilinnu,4.84,sick/ill,Sub-counterpart
Archi,acːʼi,4.844,the pain,NA
Archi,acːʼi,16.31,the disease,Super-counterpart
Archi,ačas,4.76,to kill,NA
Archi,ačas,8.531,to plant,Super-counterpart
Archi,ačas,12.27,to hide,NA
Archi,acas (2),8.31,to sow,Super-counterpart
Archi,acas(1),5.87,to milk,NA
Archi,ačmul,21.42,the murder,NA
Archi,ačuna q'ˤijq'is,20.49,the ambush,NA
Archi,adam,2.1,the person,NA
Archi,adris,23.385,the address,Exact counterpart
Archi,akːis,10.49,to leave,NA
Archi,akːon,1.61,the light,Super-counterpart
Archi,akːon as,15.56,to shine,NA
Archi,akːon caχmul,14.43,the dawn,NA
Archi,akːonniɬutːut kummul,5.42,the breakfast,NA
Archi,akːus,15.51,to see,NA
Archi,akːus as,15.55,to show,NA
Archi,akɬis,10.48,to come,NA
Archi,akɬis,10.58,to go or return home,Super-counterpart
Archi,akɬis (1),10.55,to arrive,Super-counterpart
Archi,akɬis (2),11.16,to get,NA
Archi,akɬʼ,4.13,the flesh,Super-counterpart
Archi,akɬʼ,5.61,the meat,NA
Archi,alat,9.422,the tool,NA
Archi,albahdu,17.22,stupid,Super-counterpart
Archi,albahdu,17.23,mad,Super-counterpart
Archi,alħat,14.62,Sunday,NA
Archi,allah,22.12,the god,NA
Archi,alšun,22.31,the heaven,NA
Archi,amk’ ačas,4.55,to perspire,NA
Archi,amur abas,19.45,to command or order,NA
Archi,ans,3.21,the bull,Super-counterpart
Archi,anχ,20.13,the war or battle,NA
Archi,anχ as,20.11,to fight,NA
Archi,apalχac'i,3.93,the grasshopper,Exact counterpart
Archi,aq,4.35,the leg,Super-counterpart
Archi,aq,4.37,the foot,Super-counterpart
Archi,aq’rab,3.815,the scorpion,NA
Archi,aq'ˤul bitːu,16.84,clever,NA
Archi,aq'ˤul bitːu,17.21,wise,NA
Archi,aqatːut,12.57,long,Super-counterpart
Archi,aqatːut,12.58,tall,Super-counterpart
Archi,aqəltːəkan,6.51,the shoe,NA
Archi,aqəltːəkan arčartːu,6.54,the shoemaker,NA
Archi,aqʼˤul,17.11,the mind,NA
Archi,aqˤas,9.26,to break,Super-counterpart
Archi,aqˤas,9.27,to split,Super-counterpart
Archi,aqˤutːut,9.261,broken,NA
Archi,ardigi bos,18.38,to forbid,NA
Archi,arhas,17.13,to think(1),NA
Archi,arhas,17.14,to think(2),NA
Archi,arhas,17.171,to guess,Super-counterpart
Archi,ari,9.12,the work,NA
Archi,ark’mus,9.81,to carve,Exact counterpart
Archi,armi,20.15,the army,NA
Archi,arqˤut,5.77,the nut,NA
Archi,arsi,9.65,the silver,NA
Archi,arsi,11.43,the money,Super-counterpart
Archi,arsi as,11.79,to earn,NA
Archi,as,4.72,to be born,NA
Archi,as,9.11,to do,NA
Archi,as,9.111,to build,Super-counterpart
Archi,as,9.44,to make,Super-counterpart
Archi,asːas,4.68,to shiver,NA
Archi,asas,6.11,to put on,Sub-counterpart
Archi,asmus,11.92,to weigh,NA
Archi,asmus,12.54,to measure,NA
Archi,asmus deqˤes,2.33,to marry,NA
Archi,asmus orqat:ur,2.39,the married woman,NA
Archi,at’as,6.33,to weave,Super-counterpart
Archi,at’as,9.222,to chop,Super-counterpart
Archi,at’as,9.28,to tear,Super-counterpart
Archi,atis,11.34,to let go,NA
Archi,atworka,23.555,the screwdriver,Exact counterpart
Archi,atʼas,9.22,to cut,Super-counterpart
Archi,awal,14.251,the beginning,NA
Archi,awlad,2.57,the descendants,Para-counterpart
Archi,awtːabus,23.15,the bus,Exact counterpart
Archi,aʔbos,18.41,to call(1),NA
Archi,aʔbos,18.42,to call(2),NA
Archi,aˤnšaˤ bos,4.54,to sneeze,NA
Archi,aˤpaˤsi,11.44,the coin,NA
Archi,aˤrbatːut iq,14.65,Wednesday,NA
Archi,aˤrum,8.33,the sickle or scythe,NA
Archi,aχas,12.14,to lie down,NA
Archi,aχəran,5.71,the fruit,NA
Archi,aχši,12.44,far,NA
Archi,aχukes,4.61,to sleep,NA
Archi,aχˤ,13.18,enough,NA
Archi,aχˤas as,1.861,to extinguish,NA
Archi,baba,2.52,the aunt,Super-counterpart
Archi,baba,2.521,the mother's sister,Super-counterpart
Archi,baba,2.522,the father's sister,Super-counterpart
Archi,babkɬ'ʷ,4.461,the intestines or guts,NA
Archi,babχˤmul,4.853,the swelling,NA
Archi,bac,1.53,the moon,Super-counterpart
Archi,bac,14.71,the month,Super-counterpart
Archi,bakʷ,12.36,the side,NA
Archi,balatːut,17.47,difficult,NA
Archi,banan,8.84,the banana,NA
Archi,bank,23.44,the bank,Exact counterpart
Archi,baq'ərənnu,21.23,the witness,NA
Archi,baq'ˤas,10.481,to come back,NA
Archi,barq,1.52,the sun,Exact counterpart
Archi,barq barčʼurtːut raq,12.46,the west,NA
Archi,barq borkɬinnut raq,12.45,the east,NA
Archi,barsːon,4.162,the rib,NA
Archi,barsil gat’,9.771,the rug,NA
Archi,baʁ,8.13,the garden,NA
Archi,baʁəža,6.73,the ring,NA
Archi,basa,17.65,when?,NA
Archi,basahoːnu,14.34,never,NA
Archi,bat,4.17,the horn,NA
Archi,batarejka,23.175,the battery,Exact counterpart
Archi,bazar,11.85,the market,NA
Archi,baˤkʼ,3.26,the ram,Exact counterpart
Archi,baˤkʼon,9.19,the rope,NA
Archi,baˤraj aχas,4.69,to bathe,NA
Archi,baˤri,1.33,the lake,Super-counterpart
Archi,baˤš,13.105,a hundred,NA
Archi,beːχutːut,12.31,high,NA
Archi,beckul,1.62,the darkness,Super-counterpart
Archi,bel,8.23,the spade,NA
Archi,bel,8.24,the shovel,NA
Archi,beˤk'ərtːen gon,4.342,the thumb,NA
Archi,beχːˤe kes,16.41,to hate,NA
Archi,beχːˤetːut,15.65,black,NA
Archi,bərzin,23.195,the petroleum,Exact counterpart
Archi,bi,4.15,the blood,Exact counterpart
Archi,bičʼ bit’utːu,4.82,weak,NA
Archi,bičʼ bitːu,4.81,strong,NA
Archi,bijeɬːas,14.25,to begin,NA
Archi,bika,19.33,the queen,NA
Archi,bikɬʷ,1.362,the whirlpool,Exact counterpart
Archi,bindici,23.2,the hospital,NA
Archi,biqʼʷ,12.11,the place,NA
Archi,birinž,8.48,the rice,NA
Archi,biš,3.24,the calf,Exact counterpart
Archi,biši buwa,2.72,the stepmother,Exact counterpart
Archi,biši dija,2.71,the stepfather,Exact counterpart
Archi,bit:ut,12.352,pointed,NA
Archi,bitːut,15.78,sharp,NA
Archi,bočʼat,19.63,the plot,NA
Archi,bolo ħumillit,14.12,the age,NA
Archi,bos,18.21,to speak or talk,Super-counterpart
Archi,bos,18.22,to say,Super-counterpart
Archi,bos,18.221,to tell,NA
Archi,bošor,2.21,the man,Super-counterpart
Archi,bošor,2.31,the husband,Super-counterpart
Archi,botːut as,19.46,to obey,NA
Archi,boˤkɬʼ,3.34,the sow,Super-counterpart
Archi,boˤkɬʼ,3.35,the pig,Exact counterpart
Archi,boχːˤo qˤes,20.61,to hunt,Sub-counterpart
Archi,bucːʼičʼabu,3.15,the livestock,Sub-counterpart
Archi,buq’,8.42,the grain,NA
Archi,buqʼ,8.44,the barley,NA
Archi,burma,23.55,the screw,NA
Archi,burʁˤurbos,18.16,to mumble,Super-counterpart
Archi,but’i,13.23,the part,NA
Archi,buwa,2.36,the mother,NA
Archi,buzma,6.42,the (woman's) dress,Sub-counterpart
Archi,buχar,7.31,the fireplace,NA
Archi,buχar,7.33,the chimney,NA
Archi,č'aːˤratːut,15.83,wet,NA
Archi,č'aːˤri,4.14,the hair,Sub-counterpart
Archi,c’abus,5.13,to drink,Sub-counterpart
Archi,č'agutːut,5.122,raw,NA
Archi,c’aħannin ustar,9.43,the carpenter,NA
Archi,c’aj,3.36,the goat,Sub-counterpart
Archi,c’am,4.371,the ankle,NA
Archi,č'aq'ʷ,5.37,the spoon,NA
Archi,č'aˤmmus,5.18,to chew,NA
Archi,č'egʷdu,4.93,bald,NA
Archi,c’ek’dut,15.37,bitter,NA
Archi,c’i,8.35,the threshing-floor,NA
Archi,č’ik’ijtːu,4.99,naked,NA
Archi,c’imic’əla,3.92,the butterfly,Exact counterpart
Archi,č'in,3.813,the flea,NA
Archi,č'iq'ʷˤ kes,16.251,to smile,NA
Archi,c’irbos,18.18,to shriek,NA
Archi,c'iχːəkes,18.31,to ask(1),NA
Archi,c’ohor,21.52,the thief,NA
Archi,č'otχol,4.32,the elbow,NA
Archi,c’unas,11.17,to keep,Super-counterpart
Archi,c’ut,20.36,the tower,NA
Archi,č'uˤbaˤ as,5.46,to peel,NA
Archi,č‘uˤhdu,16.48,proud,NA
Archi,č'uˤmmus,9.342,to press,NA
Archi,čakma,6.52,the boot,NA
Archi,cal,3.652,the fin,Super-counterpart
Archi,cal,4.392,the wing,Super-counterpart
Archi,cal,4.393,the feather,Super-counterpart
Archi,čanaʁi,10.79,the sledge/sled,NA
Archi,caqˤas,12.26,to cover,NA
Archi,čaras,5.23,to roast or fry,Para-counterpart
Archi,čaras,5.24,to bake,Para-counterpart
Archi,čaraχ,7.45,the lamp or torch,NA
Archi,čarχ,4.207,the jaw,NA
Archi,čarχ,9.93,the whetstone,Super-counterpart
Archi,cas,16.79,the praise,NA
Archi,cas,18.45,to boast,NA
Archi,caχas,10.25,to throw,NA
Archi,čaχˤbos,10.32,to flow,NA
Archi,čejdan,5.27,the kettle,NA
Archi,čekar,5.85,the sugar,NA
